Joint_ID;step;k0;k1;saved;saved_%;flagged;flagged_%
1;k=1.0→1.5;1,0;1,5;112;7,2;103;6,7
2;k=1.0→1.5;1,0;1,5;113;7,3;80;5,2
3;k=1.0→1.5;1,0;1,5;86;5,6;93;6,0
4;k=1.0→1.5;1,0;1,5;103;6,7;60;3,9
5;k=1.0→1.5;1,0;1,5;57;3,7;70;4,5
6;k=1.0→1.5;1,0;1,5;113;7,3;93;6,0
1;k=1.5→2.0;1,5;2,0;52;3,4;51;3,3
2;k=1.5→2.0;1,5;2,0;43;2,8;37;2,4
3;k=1.5→2.0;1,5;2,0;41;2,6;52;3,4
4;k=1.5→2.0;1,5;2,0;35;2,3;25;1,6
5;k=1.5→2.0;1,5;2,0;28;1,8;42;2,7
6;k=1.5→2.0;1,5;2,0;51;3,3;42;2,7
1;k=2.0→2.5;2,0;2,5;27;1,7;24;1,6
2;k=2.0→2.5;2,0;2,5;21;1,4;16;1,0
3;k=2.0→2.5;2,0;2,5;23;1,5;29;1,9
4;k=2.0→2.5;2,0;2,5;11;0,7;14;0,9
5;k=2.0→2.5;2,0;2,5;17;1,1;25;1,6
6;k=2.0→2.5;2,0;2,5;23;1,5;19;1,2
1;k=2.5→3.0;2,5;3,0;15;1,0;9;0,6
2;k=2.5→3.0;2,5;3,0;14;0,9;2;0,1
3;k=2.5→3.0;2,5;3,0;14;0,9;15;1,0
4;k=2.5→3.0;2,5;3,0;6;0,4;8;0,5
5;k=2.5→3.0;2,5;3,0;13;0,8;12;0,8
6;k=2.5→3.0;2,5;3,0;10;0,6;9;0,6
1;k=3.0→3.5;3,0;3,5;5;0,3;4;0,3
2;k=3.0→3.5;3,0;3,5;1;0,1;1;0,1
3;k=3.0→3.5;3,0;3,5;8;0,5;7;0,5
4;k=3.0→3.5;3,0;3,5;1;0,1;7;0,5
5;k=3.0→3.5;3,0;3,5;3;0,2;9;0,6
6;k=3.0→3.5;3,0;3,5;1;0,1;8;0,5
1;k=3.5→4.0;3,5;4,0;1;0,1;3;0,2
2;k=3.5→4.0;3,5;4,0;1;0,1;0;0,0
3;k=3.5→4.0;3,5;4,0;5;0,3;2;0,1
4;k=3.5→4.0;3,5;4,0;2;0,1;5;0,3
5;k=3.5→4.0;3,5;4,0;5;0,3;4;0,3
6;k=3.5→4.0;3,5;4,0;1;0,1;7;0,5
