Timestamp;trajectory_id;j1_v;j2_v;j3_v;j4_v;j5_v;j6_v;j1_a;j2_a;j3_a;j4_a;j5_a;j6_a;j1_t;j2_t;j3_t;j4_t;j5_t;j6_t
67,2596;1;0,01872;-0,00475;0,00641;0,00107;-0,0057;0,00036;1,57266;-0,00318;-2,52999;-0,00053;-0,60804;0,00011;10,90651;17,53196;40,81531;-7,68796;0,05549;-0,81023
67,2676;1;0,01872;-0,00475;0,00641;0,00107;-0,0057;0,00036;1,57266;-0,00318;-2,52999;-0,00053;-0,60804;0,00011;10,90651;17,53196;40,81531;-7,68796;0,05549;-0,81023
67,2828;1;0,01872;-0,00475;0,00641;0,00107;-0,0057;0,00036;1,57296;-0,00334;-2,52973;-0,00052;-0,60805;0,00011;14,2702;12,84318;39,82192;-7,16967;-0,23308;-0,86572
67,291;1;0,01902;-0,00475;0,01139;0;-0,0057;0,00214;1,57296;-0,00334;-2,52973;-0,00052;-0,60805;0,00011;14,2702;12,84318;39,82192;-7,16967;-0,23308;-0,86572
67,2987;1;0,01902;-0,00683;0,01495;0,00036;-0,0057;0,00071;1,57326;-0,00353;-2,52941;-0,00053;-0,60808;0,00011;17,53196;17,53196;39,13086;-6,82415;-0,41066;-0,39956
67,3067;1;0,01902;-0,00683;0,01495;0,00036;-0,0057;0,00071;1,57326;-0,00353;-2,52941;-0,00053;-0,60808;0,00011;17,53196;17,53196;39,13086;-6,82415;-0,41066;-0,39956
67,3207;1;0,01902;-0,00683;0,01495;0,00036;-0,0057;0,00071;1,57365;-0,00374;-2,52903;-0,00053;-0,6081;0,00011;13,76055;17,53196;37,92152;-5,78757;-0,76583;-1,04331
67,3287;1;0,02377;-0,00951;0,01709;0,00071;-0,0057;0;1,57365;-0,00374;-2,52903;-0,00053;-0,6081;0,00011;13,76055;17,53196;37,92152;-5,78757;-0,76583;-1,04331
67,3357;1;0,02852;-0,00951;0,01709;0,00463;-0,00605;0,00534;1,57408;-0,00398;-2,52865;-0,00053;-0,60818;0,00011;11,92581;17,53196;37,05771;-9,3724;-1,57606;-1,1543
67,3437;1;0,02852;-0,00951;0,01709;0,00463;-0,00605;0,00534;1,57408;-0,00398;-2,52865;-0,00053;-0,60818;0,00011;11,92581;17,53196;37,05771;-9,3724;-1,57606;-1,1543
67,3517;1;0,02852;-0,00951;0,01709;0,00463;-0,00605;0,00534;1,57408;-0,00398;-2,52865;-0,00053;-0,60818;0,00011;14,2702;17,53196;39,47639;-9,02688;-1,68705;-0,75473
67,3725;1;0,02852;-0,0101;0,01709;0,0032;-0,0089;0,00071;1,57456;-0,00429;-2,52825;-0,00054;-0,60829;0,0001;14,2702;20,89565;39,64915;-7,86073;-1,86463;-1,33188
67,3805;1;0,02852;-0,01189;0,01744;0;-0,01068;0,00427;1,57508;-0,00458;-2,52777;-0,00054;-0,60841;0,0001;14,2702;20,89565;39,64915;-7,86073;-1,86463;-1,33188
67,3885;1;0,02852;-0,01189;0,01744;0;-0,01068;0,00427;1,57508;-0,00458;-2,52777;-0,00054;-0,60841;0,0001;14,2702;20,89565;39,64915;-7,86073;-1,86463;-1,33188
67,3965;1;0,02852;-0,01189;0,01744;0;-0,01068;0,00427;1,57564;-0,00484;-2,52729;-0,00054;-0,60854;0,0001;17,12424;18,95898;38,43981;-7,68796;-2,04222;-0,57715
67,4036;1;0,0309;-0,01367;0,02278;0;-0,01139;0,00036;1,57564;-0,00484;-2,52729;-0,00054;-0,60854;0,0001;17,12424;18,95898;38,43981;-7,68796;-2,04222;-0,57715
67,4115;1;0,0309;-0,01367;0,02278;0;-0,01139;0,00036;1,57564;-0,00484;-2,52729;-0,00054;-0,60854;0,0001;17,12424;18,95898;38,43981;-7,68796;-2,04222;-0,57715
67,4186;1;0,03328;-0,01397;0,02243;0;-0,01139;0,0032;1,57624;-0,00515;-2,52684;-0,00054;-0,60876;0,0001;12,33353;13,76055;40,51297;-7,68796;-2,50837;-1,45397
67,4262;1;0,03328;-0,01397;0,02243;0;-0,01139;0,0032;1,57624;-0,00515;-2,52684;-0,00054;-0,60876;0,0001;12,33353;13,76055;40,51297;-7,68796;-2,50837;-1,45397
67,4409;1;0,03328;-0,01397;0,02243;0;-0,01139;0,0032;1,57624;-0,00515;-2,52684;-0,00054;-0,60876;0,0001;15,69722;10,90651;43,23399;-8,68135;-1,80914;-0,57715
67,4483;1;0,03536;-0,01426;0,02349;0,00178;-0,01317;0,00178;1,57689;-0,00545;-2,52637;-0,00055;-0,60899;0,0001;15,69722;10,90651;43,23399;-8,68135;-1,80914;-0,57715
67,4563;1;0,03803;-0,01872;0,02848;0,00498;-0,01459;0;1,5776;-0,0058;-2,52573;-0,00055;-0,60921;0,00009;16,10494;15,69722;39,64915;-9,02688;-1,34298;-0,86572
67,4644;1;0,03803;-0,01872;0,02848;0,00498;-0,01459;0;1,5776;-0,0058;-2,52573;-0,00055;-0,60921;0,00009;16,10494;15,69722;39,64915;-9,02688;-1,34298;-0,86572
67,4723;1;0,03803;-0,01872;0,02848;0,00498;-0,01459;0;1,5776;-0,0058;-2,52573;-0,00055;-0,60921;0,00009;16,10494;12,33353;38,43981;-8,50859;-1,16539;-0,75473
67,4943;1;0,03922;-0,01902;0,03417;0,00534;-0,01281;0;1,57913;-0,00667;-2,52439;-0,00055;-0,60966;0,00009;18,04161;16,61459;39,64915;-7,5152;-1,34298;-1,56496
67,5022;1;0,04279;-0,02377;0,03346;0,00249;-0,01139;0,00463;1,57913;-0,00667;-2,52439;-0,00055;-0,60966;0,00009;18,04161;16,61459;39,64915;-7,5152;-1,34298;-1,56496
67,5103;1;0,04279;-0,02377;0,03346;0,00249;-0,01139;0,00463;1,57913;-0,00667;-2,52439;-0,00055;-0,60966;0,00009;18,04161;16,61459;39,64915;-7,5152;-1,34298;-1,56496
67,5172;1;0,04754;-0,02377;0,03417;0,00427;-0,01531;0,00036;1,57995;-0,0072;-2,52368;-0,00055;-0,60989;0,00009;15,69722;14,2702;41,67912;-8,50859;-0,87682;-0,57715
67,5243;1;0,04754;-0,02377;0,03417;0,00427;-0,01531;0,00036;1,57995;-0,0072;-2,52368;-0,00055;-0,60989;0,00009;15,69722;14,2702;41,67912;-8,50859;-0,87682;-0,57715
67,5353;1;0,04754;-0,02377;0,03417;0,00427;-0,01531;0,00036;1,57995;-0,0072;-2,52368;-0,00055;-0,60989;0,00009;18,04161;16,61459;41,67912;-8,03349;-1,34298;-1,74254
67,5481;1;0,04992;-0,02436;0,03916;0,00463;-0,01281;0,00427;1,58086;-0,00776;-2,52293;-0,00056;-0,61013;0,00009;18,04161;16,61459;41,67912;-8,03349;-1,34298;-1,74254
67,5552;1;0,04992;-0,02436;0,03916;0,00463;-0,01281;0,00427;1,58183;-0,00831;-2,52205;-0,00055;-0,61036;0,00009;16,61459;10,90651;38,09429;-8,16306;-1,46507;-1,33188
67,5631;1;0,05229;-0,02407;0,04521;0,00285;-0,01495;0,00427;1,58183;-0,00831;-2,52205;-0,00055;-0,61036;0,00009;16,61459;10,90651;38,09429;-8,16306;-1,46507;-1,33188
